quarter_start,quarter,year,country,prompted_awareness
2016-01-01T00:00:00Z,1,2016,UK,NA
2016-01-01T00:00:00Z,1,2016,US,NA
2016-01-01T00:00:00Z,1,2016,DK,NA
2016-01-01T00:00:00Z,1,2016,IT,NA
2016-01-01T00:00:00Z,1,2016,NL,NA
2016-01-01T00:00:00Z,1,2016,FR,0.087
2016-01-01T00:00:00Z,1,2016,SE,NA
2016-01-01T00:00:00Z,1,2016,AU,NA
2016-01-01T00:00:00Z,1,2016,DE,0.101
2016-01-01T00:00:00Z,1,2016,BE,NA
2016-04-01T00:00:00Z,2,2016,UK,NA
2016-04-01T00:00:00Z,2,2016,US,NA
2016-04-01T00:00:00Z,2,2016,DK,NA
2016-04-01T00:00:00Z,2,2016,IT,NA
2016-04-01T00:00:00Z,2,2016,NL,NA
2016-04-01T00:00:00Z,2,2016,FR,0.08
2016-04-01T00:00:00Z,2,2016,SE,NA
2016-04-01T00:00:00Z,2,2016,AU,NA
2016-04-01T00:00:00Z,2,2016,DE,0.092
2016-04-01T00:00:00Z,2,2016,BE,NA
2016-07-01T00:00:00Z,3,2016,UK,0.236
2016-07-01T00:00:00Z,3,2016,US,0.073
2016-07-01T00:00:00Z,3,2016,DK,NA
2016-07-01T00:00:00Z,3,2016,IT,NA
2016-07-01T00:00:00Z,3,2016,NL,0.339
2016-07-01T00:00:00Z,3,2016,FR,0.11
2016-07-01T00:00:00Z,3,2016,SE,NA
2016-07-01T00:00:00Z,3,2016,AU,0.113
2016-07-01T00:00:00Z,3,2016,DE,0.099
2016-07-01T00:00:00Z,3,2016,BE,NA
2016-10-01T00:00:00Z,4,2016,UK,0.251
2016-10-01T00:00:00Z,4,2016,US,0.058
2016-10-01T00:00:00Z,4,2016,DK,NA
2016-10-01T00:00:00Z,4,2016,IT,NA
2016-10-01T00:00:00Z,4,2016,NL,0.342
2016-10-01T00:00:00Z,4,2016,FR,0.103
2016-10-01T00:00:00Z,4,2016,SE,NA
2016-10-01T00:00:00Z,4,2016,AU,0.098
2016-10-01T00:00:00Z,4,2016,DE,0.101
2016-10-01T00:00:00Z,4,2016,BE,NA
2017-01-01T00:00:00Z,1,2017,UK,0.304
2017-01-01T00:00:00Z,1,2017,US,0.046
2017-01-01T00:00:00Z,1,2017,DK,NA
2017-01-01T00:00:00Z,1,2017,IT,NA
2017-01-01T00:00:00Z,1,2017,NL,0.356
2017-01-01T00:00:00Z,1,2017,FR,0.131
2017-01-01T00:00:00Z,1,2017,SE,NA
2017-01-01T00:00:00Z,1,2017,AU,0.088
2017-01-01T00:00:00Z,1,2017,DE,0.1
2017-01-01T00:00:00Z,1,2017,BE,NA
2017-04-01T00:00:00Z,2,2017,UK,0.316
2017-04-01T00:00:00Z,2,2017,US,0.062
2017-04-01T00:00:00Z,2,2017,DK,NA
2017-04-01T00:00:00Z,2,2017,IT,NA
2017-04-01T00:00:00Z,2,2017,NL,0.375
2017-04-01T00:00:00Z,2,2017,FR,0.066
2017-04-01T00:00:00Z,2,2017,SE,NA
2017-04-01T00:00:00Z,2,2017,AU,0.096
2017-04-01T00:00:00Z,2,2017,DE,0.13
2017-04-01T00:00:00Z,2,2017,BE,NA
2017-07-01T00:00:00Z,3,2017,UK,NA
2017-07-01T00:00:00Z,3,2017,US,NA
2017-07-01T00:00:00Z,3,2017,DK,NA
2017-07-01T00:00:00Z,3,2017,IT,NA
2017-07-01T00:00:00Z,3,2017,NL,NA
2017-07-01T00:00:00Z,3,2017,FR,NA
2017-07-01T00:00:00Z,3,2017,SE,NA
2017-07-01T00:00:00Z,3,2017,AU,NA
2017-07-01T00:00:00Z,3,2017,DE,NA
2017-07-01T00:00:00Z,3,2017,BE,NA
2017-10-01T00:00:00Z,4,2017,UK,0.305
2017-10-01T00:00:00Z,4,2017,US,0.075
2017-10-01T00:00:00Z,4,2017,DK,NA
2017-10-01T00:00:00Z,4,2017,IT,NA
2017-10-01T00:00:00Z,4,2017,NL,0.385
2017-10-01T00:00:00Z,4,2017,FR,0.096
2017-10-01T00:00:00Z,4,2017,SE,NA
2017-10-01T00:00:00Z,4,2017,AU,0.11
2017-10-01T00:00:00Z,4,2017,DE,0.094
2017-10-01T00:00:00Z,4,2017,BE,NA
2018-01-01T00:00:00Z,1,2018,UK,0.332
2018-01-01T00:00:00Z,1,2018,US,0.074
2018-01-01T00:00:00Z,1,2018,DK,NA
2018-01-01T00:00:00Z,1,2018,IT,NA
2018-01-01T00:00:00Z,1,2018,NL,0.414
2018-01-01T00:00:00Z,1,2018,FR,0.098
2018-01-01T00:00:00Z,1,2018,SE,NA
2018-01-01T00:00:00Z,1,2018,AU,0.109
2018-01-01T00:00:00Z,1,2018,DE,0.082
2018-01-01T00:00:00Z,1,2018,BE,NA
2018-04-01T00:00:00Z,2,2018,UK,0.361
2018-04-01T00:00:00Z,2,2018,US,0.066
2018-04-01T00:00:00Z,2,2018,DK,NA
2018-04-01T00:00:00Z,2,2018,IT,NA
2018-04-01T00:00:00Z,2,2018,NL,0.432
2018-04-01T00:00:00Z,2,2018,FR,0.079
2018-04-01T00:00:00Z,2,2018,SE,NA
2018-04-01T00:00:00Z,2,2018,AU,0.131
2018-04-01T00:00:00Z,2,2018,DE,0.1
2018-04-01T00:00:00Z,2,2018,BE,NA
2018-07-01T00:00:00Z,3,2018,UK,0.385
2018-07-01T00:00:00Z,3,2018,US,0.069
2018-07-01T00:00:00Z,3,2018,DK,NA
2018-07-01T00:00:00Z,3,2018,IT,NA
2018-07-01T00:00:00Z,3,2018,NL,0.462
2018-07-01T00:00:00Z,3,2018,FR,0.104
2018-07-01T00:00:00Z,3,2018,SE,NA
2018-07-01T00:00:00Z,3,2018,AU,0.12
2018-07-01T00:00:00Z,3,2018,DE,0.115
2018-07-01T00:00:00Z,3,2018,BE,NA
2018-10-01T00:00:00Z,4,2018,UK,0.417
2018-10-01T00:00:00Z,4,2018,US,0.075
2018-10-01T00:00:00Z,4,2018,DK,0.602
2018-10-01T00:00:00Z,4,2018,IT,0.218
2018-10-01T00:00:00Z,4,2018,NL,0.452
2018-10-01T00:00:00Z,4,2018,FR,0.07
2018-10-01T00:00:00Z,4,2018,SE,NA
2018-10-01T00:00:00Z,4,2018,AU,0.119
2018-10-01T00:00:00Z,4,2018,DE,0.103
2018-10-01T00:00:00Z,4,2018,BE,NA
2019-01-01T00:00:00Z,1,2019,UK,0.447
2019-01-01T00:00:00Z,1,2019,US,0.048
2019-01-01T00:00:00Z,1,2019,DK,0.64
2019-01-01T00:00:00Z,1,2019,IT,0.247
2019-01-01T00:00:00Z,1,2019,NL,0.43
2019-01-01T00:00:00Z,1,2019,FR,0.111
2019-01-01T00:00:00Z,1,2019,SE,NA
2019-01-01T00:00:00Z,1,2019,AU,0.123
2019-01-01T00:00:00Z,1,2019,DE,0.121
2019-01-01T00:00:00Z,1,2019,BE,NA
2019-04-01T00:00:00Z,2,2019,UK,0.479
2019-04-01T00:00:00Z,2,2019,US,0.065
2019-04-01T00:00:00Z,2,2019,DK,0.616
2019-04-01T00:00:00Z,2,2019,IT,0.255
2019-04-01T00:00:00Z,2,2019,NL,0.441
2019-04-01T00:00:00Z,2,2019,FR,0.098
2019-04-01T00:00:00Z,2,2019,SE,NA
2019-04-01T00:00:00Z,2,2019,AU,0.126
2019-04-01T00:00:00Z,2,2019,DE,0.13
2019-04-01T00:00:00Z,2,2019,BE,NA
2019-07-01T00:00:00Z,3,2019,UK,0.498
2019-07-01T00:00:00Z,3,2019,US,0.083
2019-07-01T00:00:00Z,3,2019,DK,0.626
2019-07-01T00:00:00Z,3,2019,IT,0.273
2019-07-01T00:00:00Z,3,2019,NL,0.471
2019-07-01T00:00:00Z,3,2019,FR,0.08
2019-07-01T00:00:00Z,3,2019,SE,0.23
2019-07-01T00:00:00Z,3,2019,AU,0.134
2019-07-01T00:00:00Z,3,2019,DE,0.128
2019-07-01T00:00:00Z,3,2019,BE,NA
2019-10-01T00:00:00Z,4,2019,UK,0.503
2019-10-01T00:00:00Z,4,2019,US,0.085
2019-10-01T00:00:00Z,4,2019,DK,0.619
2019-10-01T00:00:00Z,4,2019,IT,0.264
2019-10-01T00:00:00Z,4,2019,NL,0.518
2019-10-01T00:00:00Z,4,2019,FR,0.107
2019-10-01T00:00:00Z,4,2019,SE,0.261
2019-10-01T00:00:00Z,4,2019,AU,0.139
2019-10-01T00:00:00Z,4,2019,DE,0.18
2019-10-01T00:00:00Z,4,2019,BE,0.127
2020-01-01T00:00:00Z,1,2020,UK,0.53
2020-01-01T00:00:00Z,1,2020,US,0.069
2020-01-01T00:00:00Z,1,2020,DK,0.591
2020-01-01T00:00:00Z,1,2020,IT,0.295
2020-01-01T00:00:00Z,1,2020,NL,0.55
2020-01-01T00:00:00Z,1,2020,FR,0.099
2020-01-01T00:00:00Z,1,2020,SE,0.225
2020-01-01T00:00:00Z,1,2020,AU,0.124
2020-01-01T00:00:00Z,1,2020,DE,0.131
2020-01-01T00:00:00Z,1,2020,BE,0.156
2020-04-01T00:00:00Z,2,2020,UK,0.602
2020-04-01T00:00:00Z,2,2020,US,0.095
2020-04-01T00:00:00Z,2,2020,DK,0.588
2020-04-01T00:00:00Z,2,2020,IT,0.301
2020-04-01T00:00:00Z,2,2020,NL,0.549
2020-04-01T00:00:00Z,2,2020,FR,0.115
2020-04-01T00:00:00Z,2,2020,SE,0.271
2020-04-01T00:00:00Z,2,2020,AU,0.149
2020-04-01T00:00:00Z,2,2020,DE,0.157
2020-04-01T00:00:00Z,2,2020,BE,0.149
2020-07-01T00:00:00Z,3,2020,UK,0.608
2020-07-01T00:00:00Z,3,2020,US,0.076
2020-07-01T00:00:00Z,3,2020,DK,0.656
2020-07-01T00:00:00Z,3,2020,IT,0.353
2020-07-01T00:00:00Z,3,2020,NL,0.541
2020-07-01T00:00:00Z,3,2020,FR,0.148
2020-07-01T00:00:00Z,3,2020,SE,0.29
2020-07-01T00:00:00Z,3,2020,AU,0.137
2020-07-01T00:00:00Z,3,2020,DE,0.163
2020-07-01T00:00:00Z,3,2020,BE,0.139
2020-10-01T00:00:00Z,4,2020,UK,0.58
2020-10-01T00:00:00Z,4,2020,US,0.087
2020-10-01T00:00:00Z,4,2020,DK,0.654
2020-10-01T00:00:00Z,4,2020,IT,0.33
2020-10-01T00:00:00Z,4,2020,NL,0.578
2020-10-01T00:00:00Z,4,2020,FR,0.115
2020-10-01T00:00:00Z,4,2020,SE,0.315
2020-10-01T00:00:00Z,4,2020,AU,0.15
2020-10-01T00:00:00Z,4,2020,DE,0.168
2020-10-01T00:00:00Z,4,2020,BE,0.136
2021-01-01T00:00:00Z,1,2021,UK,0.648
2021-01-01T00:00:00Z,1,2021,US,0.073
2021-01-01T00:00:00Z,1,2021,DK,0.644
2021-01-01T00:00:00Z,1,2021,IT,0.345
2021-01-01T00:00:00Z,1,2021,NL,0.576
2021-01-01T00:00:00Z,1,2021,FR,0.135
2021-01-01T00:00:00Z,1,2021,SE,0.285
2021-01-01T00:00:00Z,1,2021,AU,0.165
2021-01-01T00:00:00Z,1,2021,DE,0.233
2021-01-01T00:00:00Z,1,2021,BE,0.152
2021-04-01T00:00:00Z,2,2021,UK,0.63
2021-04-01T00:00:00Z,2,2021,US,0.078
2021-04-01T00:00:00Z,2,2021,DK,0.505
2021-04-01T00:00:00Z,2,2021,IT,0.338
2021-04-01T00:00:00Z,2,2021,NL,0.633
2021-04-01T00:00:00Z,2,2021,FR,0.169
2021-04-01T00:00:00Z,2,2021,SE,0.295
2021-04-01T00:00:00Z,2,2021,AU,0.194
2021-04-01T00:00:00Z,2,2021,DE,0.248
2021-04-01T00:00:00Z,2,2021,BE,0.158
2021-07-01T00:00:00Z,3,2021,UK,0.641
2021-07-01T00:00:00Z,3,2021,US,0.075
2021-07-01T00:00:00Z,3,2021,DK,0.699
2021-07-01T00:00:00Z,3,2021,IT,0.398
2021-07-01T00:00:00Z,3,2021,NL,0.633
2021-07-01T00:00:00Z,3,2021,FR,0.143
2021-07-01T00:00:00Z,3,2021,SE,0.331
2021-07-01T00:00:00Z,3,2021,AU,0.101
2021-07-01T00:00:00Z,3,2021,DE,0.312
2021-07-01T00:00:00Z,3,2021,BE,0.171
2021-10-01T00:00:00Z,4,2021,UK,0.631
2021-10-01T00:00:00Z,4,2021,US,0.111
2021-10-01T00:00:00Z,4,2021,DK,0.673
2021-10-01T00:00:00Z,4,2021,IT,0.384
2021-10-01T00:00:00Z,4,2021,NL,0.642
2021-10-01T00:00:00Z,4,2021,FR,0.147
2021-10-01T00:00:00Z,4,2021,SE,0.352
2021-10-01T00:00:00Z,4,2021,AU,0.239
2021-10-01T00:00:00Z,4,2021,DE,0.361
2021-10-01T00:00:00Z,4,2021,BE,0.179
